date,month,vendor,pickup_time,dropoff_time,duration,passengers,distance,start_long,start_lat,end_long,end_lat,payment_type,fare,surcharge,tip,tolls,total
2009-01-01,2009-01,CMT,2009-01-01D00:00:00.000000000,2009-01-01D00:04:12.000000000,0D00:04:12.000000000,1,1.3,-73.96592,40.77124,-73.94961,40.77706,CASH,5.8,0,0,0,5.8
2009-01-01,2009-01,CMT,2009-01-01D00:00:00.000000000,2009-01-01D00:05:03.000000000,0D00:05:03.000000000,2,0.9,-73.99748,40.72595,-74.00594,40.7357,CASH,5.4,0,0,0,5.4
2009-01-01,2009-01,CMT,2009-01-01D00:00:02.000000000,2009-01-01D00:05:40.000000000,0D00:05:38.000000000,1,1,-73.9648,40.76739,-73.97775,40.77375,CASH,5.8,0,0,0,5.8
2009-01-01,2009-01,CMT,2009-01-01D00:00:04.000000000,2009-01-01D00:03:08.000000000,0D00:03:04.000000000,1,0.8,-74.01159,40.70883,-74.01346,40.70936,CASH,4.6,0,0,0,4.6
2009-01-01,2009-01,CMT,2009-01-01D00:00:07.000000000,2009-01-01D00:19:01.000000000,0D00:18:54.000000000,1,5.5,-74.00065,40.71858,-73.94458,40.71237,CASH,27.8,0,0,0,27.8
2009-01-01,2009-01,CMT,2009-01-01D00:00:09.000000000,2009-01-01D00:05:43.000000000,0D00:05:34.000000000,1,0.9,-73.96506,40.75519,-73.97818,40.76229,CASH,5.8,0,0,0,5.8
2009-01-01,2009-01,CMT,2009-01-01D00:00:10.000000000,2009-01-01D00:05:50.000000000,0D00:05:40.000000000,1,1,-73.99259,40.75872,-73.98567,40.76862,CASH,5.8,0,0,0,5.8
2009-01-01,2009-01,CMT,2009-01-01D00:00:13.000000000,2009-01-01D00:15:27.000000000,0D00:15:14.000000000,1,2.1,-73.99635,40.7636,-73.96687,40.7592,CASH,10.6,0,0,0,10.6
2009-01-01,2009-01,DDS,2009-01-01D00:00:15.000000000,2009-01-01D00:01:29.000000000,0D00:01:14.000000000,1,0.2,-74.00196,40.75079,-73.99926,40.75443,CASH,2.9,0.5,0,0,3.4
2009-01-01,2009-01,CMT,2009-01-01D00:00:16.000000000,2009-01-01D00:12:02.000000000,0D00:11:46.000000000,2,3.7,-73.93972,40.7068,-73.98869,40.72666,CASH,11.8,0,0,0,11.8
2009-01-01,2009-01,CMT,2009-01-01D00:00:17.000000000,2009-01-01D00:22:02.000000000,0D00:21:45.000000000,1,7.2,-73.95613,40.77198,-73.85661,40.75134,CASH,20.2,0,0,0,20.2
2009-01-01,2009-01,CMT,2009-01-01D00:00:21.000000000,2009-01-01D00:18:29.000000000,0D00:18:08.000000000,2,9.1,-74.00765,40.74299,-73.93974,40.85133,CASH,23.4,0,0,0,23.4
2009-01-01,2009-01,CMT,2009-01-01D00:00:23.000000000,2009-01-01D00:15:25.000000000,0D00:15:02.000000000,3,3.8,-74.00937,40.73873,-73.98395,40.77954,CASH,12.2,0,0,0,12.2
